date,artist,song_name,video,group_type,release,link,like_count,view_count
2021-03-17,MIRAE,Killa,Youtube,Boy,Major,https://www.youtube.com/watch?v=ath_KZcfEZ0,195201,16075524
2021-03-17,Weeekly,After School,Youtube,Girl,Major,https://www.youtube.com/watch?v=qfVuRQX0ydQ,2578996,143549717
2021-03-17,Jessi,What Type of X,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=OEu1OWf8ezU,2233065,74094156
2021-03-17,Chungha,Demente (Spanish Ver) X Guaynaa,Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=KsHZI6nYLFM,525248,13101895
2021-03-16,Super Junior,House Party,Youtube,Boy,Major,https://www.youtube.com/watch?v=BtJMOVKjhUo,975304,30611128
2021-03-16,MY.st,Dazzle,Youtube,Boy,Major,https://www.youtube.com/watch?v=cY4WA5AW8No,2100,17010
2021-03-16,Drippin,Young Blood,Youtube,Boy,Major,https://www.youtube.com/watch?v=ghHgChwdIYE,121395,3391101
2021-03-15,Ciipher,I Like You,Youtube,Boy,Major,https://www.youtube.com/watch?v=_UWEm2ZE3Tk,113370,884572
2021-03-15,WOODZ,Feel Like,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=z2KMxSb4GIo,224002,15776272
2021-03-15,Pentagon,Do or Not,Youtube,Boy,Major,https://www.youtube.com/watch?v=cU6cnHHX4LM,402905,30428172
2021-03-15,Purple Kiss,Ponzona,Youtube,Girl,Major,https://www.youtube.com/watch?v=8Lyf6PipuIg,349056,23034111
2021-03-12,Dreamcatcher,Poison Love,Youtube,Girl,Special,https://www.youtube.com/watch?v=wKXjvh-wYKY,87472,1595459
2021-03-12,Rose,On The Ground,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=CKZvWhCqx1s,10791164,307123596
2021-03-11,Ghost9,Seoul,Youtube,Boy,Major,https://www.youtube.com/watch?v=WtYnxxZ6EVE,80544,13489615
2021-03-09,TREASURE,BOY (Japanese Ver.),Youtube,Boy,Japanese,https://www.youtube.com/watch?v=VOapML6KyWE,268042,2697004
2021-03-09,TREASURE,I LOVE YOU (Japanese Ver.),Youtube,Boy,Japanese,https://www.youtube.com/watch?v=oLstWoMF4Pc,301308,3645077
2021-03-09,TREASURE,MMM (Japanese Ver.),Youtube,Boy,Japanese,https://www.youtube.com/watch?v=M_J8awMzJ7Y,256051,2868524
2021-03-09,TREASURE,MY TREASURE (Japanese Ver.),Youtube,Boy,Japanese,https://www.youtube.com/watch?v=J_1zJ4ka37A,219940,2194614
2021-03-09,MAJORS,Stronger,Youtube,Girl,Major,https://www.youtube.com/watch?v=tXeRSeqR67c,13909,165135
2021-03-09,MAJORS,Spit it out,Youtube,Girl,Major,https://www.youtube.com/watch?v=xpdGtBoepTA,23355,370578
2021-03-05,TRI.BE,Loca,Youtube,Girl,Minor,https://www.youtube.com/watch?v=z-ZWRYForQI,43122,531299
2021-03-05,G-reyish,Blood Night,Youtube,Girl,Major,https://www.youtube.com/watch?v=QjugcOucEck,37623,711664
2021-03-05,MCND,Not Over,Youtube,Boy,Major,https://www.youtube.com/watch?v=FxVX2EF3J6E,252134,5140911
2021-03-03,iKON,Why Why Why,Youtube,Boy,Major,https://www.youtube.com/watch?v=DslHQto2V7I,1413876,32397460
2021-03-03,Rain,Why Don't We feat. Chungha,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=srWfDwiRVgQ,171920,4169160
2021-03-02,Verivery,Get Away,Youtube,Boy,Major,https://www.youtube.com/watch?v=CBhqNk19VQM,143300,16801499
2021-03-01,ATEEZ,I'm The One,Youtube,Boy,Major,https://www.youtube.com/watch?v=xtcVwuauVV0,1483232,55349304
2021-02-26,Cheetah,Villain feat. Jamie,Youtube,Girl Solo,Major,https://www.youtube.com/watch?v=d__iIt-00Gk,87214,1218045
2021-02-26,CL,Wish You Were Here,Youtube,Girl Solo,Special,https://www.youtube.com/watch?v=aMWEv_YBd8M,174262,1642592
2021-02-26,Wonho,Lose,Youtube,Boy Solo,Major,https://www.youtube.com/watch?v=q3eSaQaDDPE,567773,13111852
2021-02-25,Golden Child,Breathe,Youtube,Boy,Major,https://www.youtube.com/watch?v=5AI9c9CsxEI,72690,857008
2021-02-24,The Boyz,Breaking Dawn,Youtube,Boy,Japanese,https://www.youtube.com/watch?v=rsXWBjGcOUc,452378,11229154
2021-02-24,ONF,Beautiful Beautiful,Youtube,Boy,Major,https://www.youtube.com/watch?v=0pwBFTUJBzQ,103084,17421199
2021-02-24,Pixy,Wings,Youtube,Girl,Major,https://www.youtube.com/watch?v=pEFG9bpQHtI,73134,898183
2021-02-24,WEi,All or Nothing,Youtube,Boy,Major,https://www.youtube.com/watch?v=iMI-fJlSzqo,142919,8178453
