name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
SPACE MULAN,SPACE MULAN,BÉBE YANA,2022-05-16,159866,37,0.572,0.18,0.867,0.00486,0.125,-4.959,0.0495,159.918,4
Phase Me,MOTH,WOOSUNG,2022-05-13,154003,61,0.857,0.0433,0.566,0.000135,0.133,-4.461,0.0309,104.067,4
Chuck,ALPHA,CL,2021-10-20,190333,44,0.832,0.137,0.739,0.00117,0.0729,-6.206,0.255,97.08,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ACACIA,ACACIA,YEZI,2022-05-12,212466,31,0.628,0.017,0.87,0,0.0966,-2.925,0.147,146.991,4
Roller Coaster,Where is my Garden!,JEONG SEWOON,2022-05-11,183346,35,0.786,0.0418,0.939,0,0.209,-3.771,0.0523,112.985,4
Fame,THE CODE,Ciipher,2022-05-11,223160,37,0.699,0.0982,0.915,0,0.246,-1.987,0.0566,121.985,4
RATA-TAT-TAT,RATA-TAT-TAT,Golden Child,2022-05-10,204066,36,0.789,0.198,0.887,0,0.351,-4.849,0.0492,104.964,4
Montage_,Planet Nine : VOYAGER,ONEWE,2022-01-04,224520,41,0.564,0.0559,0.904,0,0.0502,-2.811,0.0609,95.017,4
Good Boy Gone Bad - Unpopular Theory Remix,Good Boy Gone Bad (Unpopular Theory Remix),TXT,2022-05-29,206304,18,0.733,0.037,0.769,2.33e-06,0.103,-9.159,0.103,99.993,4
SHUT DOWN,CLASS IS OVER,CLASS:y,2022-05-05,206880,52,0.682,0.0281,0.918,0,0.272,-1.84,0.065,128.003,4
I hate you,COLORFUL TRAUMA,WOODZ,2022-05-04,190000,53,0.505,0.0476,0.881,0,0.0713,-2.637,0.0675,173.843,4
POWER OF LOVE,POWER OF LOVE,ALICE,2022-05-04,221136,30,0.607,0.754,0.406,1.02e-06,0.111,-4.152,0.0291,131.965,4
BUT YOU,FLASHBACK,iKON,2022-05-03,212687,59,0.634,0.0223,0.91,0,0.127,-1.711,0.0323,138.006,4
Celeb,PSY 9th,PSY,2022-04-29,199766,49,0.832,0.00905,0.682,0,0.103,-3.828,0.046,127.948,4
Hiding Words,A Wild Rose - The 3rd Mini Album,RYEOWOOK,2022-05-03,216893,37,0.332,0.585,0.532,0,0.103,-5.225,0.0354,135.646,4
Tamed-Dashed - Japanese Ver.,DIMENSION : 閃光,ENHYPEN,2022-05-02,195920,53,0.604,0.00129,0.805,3.17e-06,0.124,-4.335,0.0478,154.996,4
FEARLESS,FEARLESS,LE SSERAFIM,2022-05-02,168437,83,0.863,0.0508,0.62,0.00324,0.129,-7.167,0.135,103.971,4
That That (prod. & feat. SUGA of BTS),PSY 9th,PSY,2022-04-29,174646,80,0.905,0.0299,0.962,0,0.0272,-3.197,0.0856,129.969,4
Nonstop,Nonstop,RoaD-B,2022-04-28,204733,20,0.604,0.0169,0.767,1.13e-05,0.102,-4.28,0.0496,120.043,4
Sober,REBEL,DKB,2022-04-28,223875,40,0.644,0.231,0.895,0,0.16,-3.07,0.07,139.959,4
#Self_Trip,mOS 2.74,MINSEO,2022-04-28,181739,37,0.772,0.0786,0.91,1.88e-06,0.545,-1.865,0.0884,106.978,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Futt,re:Born,BUSTERS,2022-04-27,191560,20,0.804,0.129,0.901,0.000234,0.0607,-2.608,0.073,144.969,4
Business (Feat. BE'O),The 1st Mini Album 'Day & Night',SOYOU,2022-04-27,204146,30,0.595,0.349,0.588,0,0.34,-5.318,0.0846,86.887,4
BLOOM,MIRO,Yoon Jisung,2022-04-27,211973,22,0.621,0.161,0.865,0,0.175,-1.594,0.0396,114.047,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drive,MY,MIYEON,2022-04-27,201613,57,0.65,0.378,0.861,0,0.231,-2.093,0.0354,107.984,4
Play Hide & Seek,Bridge of Dreams,ICHILLIN',2022-04-27,181133,33,0.705,0.164,0.976,0,0.3,-1.169,0.265,146.989,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Love Killa,Fatal Love,Monsta X,2020-11-02,182533,59,0.451,0.0785,0.867,0,0.348,-3.316,0.459,89.108,4
Undercover,SERIES 'O' [ROUND 3 : WHOLE],VERIVERY,2022-04-25,187520,42,0.657,0.0402,0.911,0,0.189,-2.332,0.131,75.051,4
Bluebird,A Wild Rose - The 3rd Mini Album,RYEOWOOK,2022-05-03,224986,29,0.782,0.627,0.457,0,0.179,-4.87,0.0473,129.989,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SO GOOD,SO GOOD,DRIPPIN,2022-04-21,207790,33,0.761,0.151,0.893,0,0.106,-2.908,0.12,119.993,4
1 of 9,YOUNI-BIRTH,YOUNITE,2022-04-20,199327,49,0.704,0.124,0.828,0,0.11,-4.668,0.139,114.873,4
I want you to be happy,I want you to be happy,Apink,2022-04-19,227293,37,0.452,0.763,0.715,0,0.134,-2.69,0.0347,71.887,4
Hit Me Up (feat. JMIN),Hit Me Up (feat. JMIN),Min,2022-04-18,161026,34,0.707,0.0556,0.666,0,0.0874,-5.357,0.16,160.069,4
Memories,Memories,Me:us,2022-04-17,234346,7,0.576,0.749,0.433,0,0.098,-5.132,0.0337,137.801,4
Darl+ing,Darl+ing,SEVENTEEN,2022-04-15,176546,69,0.71,0.296,0.686,0,0.492,-4.926,0.0713,96.06,4
#Twenty,CRAZY IN LOVE,ITZY,2021-09-24,174440,60,0.956,0.0969,0.714,0,0.069,-5.12,0.197,128.051,4
Scorpio,Scorpio,Sorn,2022-04-14,216337,41,0.665,0.0607,0.823,2.4e-06,0.0391,-3.36,0.0339,113.066,4
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RE=LOAD,JUST BEGUN,JUST B,2022-04-14,198333,41,0.57,0.083,0.962,0,0.315,-1.998,0.124,155.02,4
